Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Ne sait pas,No rep.,Moyenne,Question
1st round vote,Arthaud,24.07418,0.2149999,0.47803538895198094,0.15599742130365396,0.0,0.0,0.05072223,0.03143628,0.0,0.13321671,0.12033090999999999,0.16126227,0.19644229,0.04793625,0.10806121000000002,0.13030799,0.02028383,6.823851,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Poutou,32.85668,0.28377578014577254,0.3151879617782442,0.14714496412905992,0.0,0.0,0.02229726,0.1006465,0.06035735,0.10047466999999999,0.0624844,0.155,0.09941902,0.09193573,0.05520923,0.23991107000000003,0.012264769999999998,6.316909,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Roussel,98.04205,0.28561938474358706,0.36567044446745045,0.1849999,0.01181315,0.00729994,0.03420433,0.04122917,0.04597678,0.14509601,0.09007046,0.0996947,0.17590524,0.08244351,0.10439082,0.1387678,0.02310783,6.610251,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Melenchon,942.3053,0.2549999,0.4182616822806791,0.1672853798020663,0.01102405,0.00839656,0.01983699,0.05295362,0.04091923000000001,0.12388851,0.09317214,0.15961765999999986,0.165,0.06959363,0.0976918,0.14290581,0.015,6.637951,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Hidalgo,75.31895,0.445,0.335,0.1149999,0.00846955,0.03625633,0.02162557,0.07387533,0.04773811,0.2578310500000001,0.08960405999999999,0.1269132,0.11780674,0.07378788,0.0449999,0.09609237999999999,0.0049999,5.862112,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Jadot,198.8808,0.3857100836279822,0.35284416595267115,0.07347159705713172,0.0207508,0.00577489,0.05050231,0.05824111999999999,0.03332269,0.21711824000000002,0.11453901,0.142065,0.09624016000000002,0.03315451,0.04031709,0.16868089000000003,0.01929332,5.730799,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Macron,1195.294,0.355,0.3941327405642461,0.12093551879286603,0.015,0.015,0.02964923,0.04343052,0.06670196,0.17940136999999992,0.09446847,0.17376671,0.12589731,0.05660901,0.06432648,0.12300321,0.01274573,6.150117,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Pecresse,205.1207,0.265,0.48956053679614003,0.1499482499815962,0.02848083,0.005,0.01549829,0.02170837,0.05020152,0.1431014,0.14122329,0.17250419,0.1756800499999999,0.09260551999999998,0.05734268,0.08312974,0.01352412,6.515437,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Dupont-Aignan,88.56025,0.13591684756987477,0.3302046911565855,0.4508645808926691,0.03060314,0.00928913,0.00698292,0.009377,0.03961202,0.0400527,0.0343079,0.06844723,0.22744956,0.11362095,0.33724373999999996,0.08301376000000002,0,7.971437,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Zemmour,303.4525,0.0949999,0.29736518895049474,0.555,0.0172282,0.01452556,0.0,0.01933738,0.01248156,0.0346765,0.057161369999999996,0.059163,0.18104082,0.215,0.33762619999999993,0.0485096,0.00324981,8.23926,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Le Pen,993.0248,0.185,0.3149999,0.3820207712838592,0.013673019999999998,0.015,0.0206885,0.020302000000000004,0.01787197,0.09509626000000002,0.07313712,0.09344264,0.14907322,0.12394786,0.2574070500000003,0.11394096,0.0064194,7.554631,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Lassalle,134.5409,0.2502303760417836,0.4065310994649211,0.22155337150264345,0.0,0.01708394,0.0,0.028056990000000004,0.05948491,0.14499990000000001,0.08728564999999999,0.17738996999999998,0.14246062,0.05907931,0.16247409,0.11713954999999998,0.00454507,6.973085,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Blank/Null/NA,96.61228,0.245,0.315,0.11482349862771069,0.0207138,0.01109983,0.04131631000000001,0.02955,0.02569146,0.11532302,0.04642981,0.13528311,0.13111335,0.04248648,0.07233706,0.28392126,0.04473421999999999,6.318636,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Blank,63.86856,0.2272629913685231,0.3249999,0.13678717666407383,0.02589943,0.01412808,0.03806452,0.0252683,0.021255949999999996,0.10264673,0.04028652,0.1549999,0.13331011,0.05538913,0.08139806000000001,0.2718917500000001,0.03546152,6.453636,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
1st round vote,Null,19.09123,0.3277981565357497,0.2661174790728518,0.054999900000000004,0.0,0.00890667,0.06908366,0.03808448,0.03454828,0.17717512,0.0399704,0.11736117,0.10878592,0.013663720000000002,0.04413741999999999,0.28928681,0.05899662,5.802185,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
2nd round vote,Macron,2287.563,0.32887994778723034,0.4102388874098768,0.1149999,0.01628121,0.01163638,0.02805754,0.04868338,0.05350209,0.17081586,0.10524086,0.1649999,0.13989971,0.05359258,0.06348953,0.12809929,0.01570167,6.195937,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
2nd round vote,Le Pen,1619.66,0.16682575355321488,0.2949999,0.40858717261647504,0.01704941,0.014932020000000002,0.01340859,0.01950372,0.02564418,0.07628786,0.052183440000000005,0.0924733,0.15318548,0.13186434,0.27672302,0.12000834000000002,0.00673575,7.700134,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
2nd round vote,Blank/Null/NA,370.4173,0.237747238047467,0.40679066555476756,0.1849999,0.0083842,0.013117859999999999,0.01722012,0.025493789999999995,0.04104444,0.1324869,0.09499990000000001,0.15573401,0.15567734,0.09365807000000001,0.0915653,0.1578601499999999,0.01275792,6.769489,"qeur1. Selon vous, pour résoudre les problèmes de la France, il faut donner plus de pouvoir à l'Union européenne ou plus de pouvoir au gouvernement français ? La note 0 signifiant
qu'il faudrait plus de pouvoir à l'UE et la note 10 signifiant qu'il faudrait plus de pouvoir au gouvernement français. Les notes intermédiaires permettent de nuancer votre
jugement. Plus de pouvoir à l'UEPlus de pouvoir au gouvernement français"
