Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,Je ne sais pas,Moyenne,Question
1st round vote,Melenchon,942.3053,0.0830491773738299,0.5087065731244428,0.3685748132797301,0.00330912,0.0,0.00462419,0.00650801,0.0182889,0.05031891,0.09878513,0.19331431,0.21660708,0.12849806,0.24007676,0.03966914,7.90305,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Hidalgo,75.31895,0.15861944437621608,0.5508495537975503,0.2308760278787742,0.0,0.0,0.011709730000000002,0.03847057,0.02281144,0.08562769000000002,0.10343473999999998,0.16871146,0.2787033,0.12061524000000001,0.11026082,0.05965524,7.313886,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Jadot,198.8808,0.09129156761235876,0.5893313985060398,0.22069817699848351,0.00355056,0.0,0.00685021,0.01051682,0.01352518,0.05684878,0.11785807999999999,0.2619726,0.20950081999999998,0.11621413000000001,0.10448404,0.09867886,7.423909,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Macron,1195.294,0.215,0.5858568686866996,0.13368376315785072,0.00770953,0.0049999,0.0192697,0.01651545,0.03625982,0.12938549,0.18856072,0.22822805000000013,0.17062137,0.0649999,0.06845017,0.0649999,6.679327,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Pecresse,205.1207,0.3821534832905699,0.4412432289866406,0.07780770053924348,0.0257496,0.02348686,0.035,0.08278554999999999,0.06259251,0.15254838,0.12219908,0.16828227999999978,0.150753,0.046425890000000004,0.0313818,0.09879505,5.774322,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Dupont-Aignan,88.56025,0.1947593869710169,0.545,0.18122148480836492,0.00719139,0.00960155,0.01193645,0.00889167,0.0349999,0.12003827999999998,0.04724623,0.23959021999999996,0.2599899400000001,0.11244256,0.06877894,0.07929287,7.094809,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Zemmour,303.4525,0.34397047313830004,0.41731836119326754,0.14555859648544664,0.03297221,0.02788374,0.05634127,0.03308145,0.07165523,0.12145380000000003,0.10049695,0.205,0.11240348999999998,0.046494890000000004,0.09906374,0.09315322999999999,6.041635,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Le Pen,993.0248,0.1821046161183487,0.49230160213521357,0.25677636651169233,0.01968137,0.013815919999999999,0.01717588,0.02279233,0.02781256,0.08082653,0.11799403,0.1836653,0.19064227,0.08771559,0.16906083,0.06881734,7.120768,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Lassalle,134.5409,0.2449999,0.5077601680975823,0.197613885443014,0.00275666,0.01915415,0.03482886,0.04504618,0.04277521,0.10348087,0.12039543,0.20191347,0.18545126,0.07779389,0.11982,0.0465836,6.744357,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Blank/Null/NA,96.61228,0.2449999,0.38037162563599575,0.20513323979104936,0.00649385,0.00639838,0.02250027,0.02465454,0.0349999,0.1505407,0.08485873,0.18817542000000032,0.10776207999999998,0.0772686,0.1278647,0.16848283,6.830086,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Blank,63.86856,0.2349999,0.405,0.22803755087009944,0.00982308,0.00701632,0.02475151,0.02462938,0.05358519,0.12135533,0.09821413,0.18733101000000008,0.11888618,0.09325930999999998,0.135,0.12614856,6.856869,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
1st round vote,Null,19.09123,0.34367240874474825,0.3192738760153222,0.12963360663508847,0.0,0.00890667,0.03105922,0.04236961,0.0,0.26133691,0.05825953,0.19736549,0.06364891,0.01761552,0.11201808,0.20742042,6.338598,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
2nd round vote,Macron,2287.563,0.195,0.5749998999999999,0.17150644594269096,0.0049999,0.00583524,0.01603265,0.01663674,0.03768764,0.10615183,0.1549999,0.23426907000000008,0.19100672,0.07969984,0.09180652,0.06087395,6.919187,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
2nd round vote,Le Pen,1619.66,0.20134806070409839,0.46962547695195284,0.25009162416803526,0.02138112,0.0129635,0.025,0.02343705,0.0333329,0.08539928,0.11352105,0.17575436,0.1801848999999998,0.08605589999999999,0.16403572,0.07893422,7.016158,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
2nd round vote,Blank/Null/NA,370.4173,0.1755912858281727,0.45833037495818907,0.2910957452581183,0.00520921,0.00521103,0.01399164,0.02998416,0.024926620000000003,0.09626861,0.09502345000000001,0.18836431,0.17494277,0.12142648,0.16966915000000002,0.07498289,7.33171,"newv13b_i2. De façon générale, diriez-vous qu'il est important pour la démocratie en général :La note 0 signifiant que ça n'est pas important du tout et la note 10 signifiant que
c'est extrêmement important. Les notes intermédiaires permettent de nuancer votre jugement. Merci de faire glisser le curseur pour sélectionner une note.Pas important du
toutExtrêmement important
- que le gouvernement prenne des mesures pour réduire les différences de revenus ?"
