Indicator,Category,BASE,ST 0 à 5,ST 6 à 8,ST 9 à 10,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,No rep.,Moyenne,Question
1st round vote,Melenchon,942.3053,0.5755916898695147,0.3449999,0.05145049062124558,0.05086932,0.03750669,0.066341,0.12461672,0.09751304,0.19888090999999986,0.11460543,0.14584551,0.0849999,0.03098337,0.02046714,0.027370969999999998,4.93608,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Hidalgo,75.31895,0.3679429944257056,0.5132964546106923,0.105,0.029911080000000003,0.0,0.045155339999999995,0.09432981,0.07500397,0.12354273000000002,0.20897065,0.22064202999999985,0.08350185,0.07917075,0.025,0.01477179,5.805107,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Jadot,198.8808,0.505,0.4149999,0.055,0.00680599,0.01805538,0.029211330000000004,0.08146131,0.13932557,0.22903428000000003,0.13483866,0.18277510999999996,0.09956979,0.03847342,0.0163988,0.02405045,5.552131,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Macron,1195.294,0.315,0.5249999,0.14367536355072474,0.00737757,0.005754939999999999,0.0268284,0.03951093,0.07144165,0.15895997,0.12175808,0.23122286,0.17301618,0.07885877,0.06481667,0.02045471,6.482232,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Pecresse,205.1207,0.4062680168310658,0.444775295716132,0.13229942175509346,0.022101430000000002,0.0165738,0.04628139,0.0649999,0.08655699,0.17032440000000004,0.15977905,0.12499990000000001,0.15942696,0.09790533,0.0343941,0.01665675,5.934639,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Dupont-Aignan,88.56025,0.6349999,0.295,0.06782835414308339,0.03720441,0.01277395,0.11465934,0.2076324400000001,0.10292886,0.16300993,0.09037724,0.09858548,0.105,0.04900047,0.01882788,0,4.792655,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Zemmour,303.4525,0.5549999,0.3544142823011839,0.055,0.052058890000000003,0.05345509,0.10272089,0.08395129,0.09776739,0.1684824300000003,0.12956713,0.15163441,0.07321261,0.03553044,0.01661943,0.035,4.823762,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Le Pen,993.0248,0.6159964987782782,0.31086635499939175,0.05120617330000217,0.07917744,0.06067272,0.08249492,0.1218316,0.095,0.17681990000000006,0.10989202,0.12697709,0.07399736,0.028395830000000004,0.022810340000000002,0.02193078,4.580358,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Lassalle,134.5409,0.5141319851435512,0.415,0.04341350474093752,0.04269604999999999,0.00882167,0.04484126,0.0873159,0.11669567000000002,0.21376161,0.15582481,0.1659809,0.09150623,0.0312155,0.012198,0.029141969999999996,5.28175,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Blank/Null/NA,96.61228,0.5649999,0.2964085931933291,0.035,0.00783128,0.04485436,0.06212859,0.08374134,0.11358493999999998,0.2617292600000002,0.09579072,0.12920293,0.07141501,0.01615518,0.015,0.09856639,5.023942,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Blank,63.86856,0.5704864803590374,0.31053103436182056,0.03761266889374052,0.007741600000000001,0.03483462,0.07635201,0.059039659999999994,0.1333431,0.25917556,0.10554414,0.1101554,0.09483154,0.02200942,0.01560325,0.08136955,5.12832,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
1st round vote,Null,19.09123,0.6149998999999999,0.27717150754561126,0,0.0,0.07226611,0.040795870000000005,0.10679417,0.06307572,0.3341164,0.0871309,0.15889762,0.031142969999999996,0.0,0.0,0.10578051,4.787791,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
2nd round vote,Macron,2287.563,0.3698262736370539,0.4949999,0.115,0.01403247,0.01309045,0.03588339,0.05927089,0.08723186999999999,0.16031729,0.13443083,0.21249349000000017,0.15358633,0.06523702,0.045,0.01942597,6.091229,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
2nd round vote,Le Pen,1619.66,0.625,0.2944488966820197,0.053582251830631124,0.07729141,0.06048963000000001,0.09125736,0.12044599,0.09768908,0.175,0.10241927,0.11924262,0.07278707,0.03110734,0.02247493,0.0297953,4.538642,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
2nd round vote,Blank/Null/NA,370.4173,0.5420286795460147,0.35065748818967146,0.05788568730456163,0.01994742,0.03492048,0.07682916,0.11171114,0.08749888,0.21112175,0.12555021,0.15155777,0.07354951,0.03194824,0.025937440000000003,0.04942814,5.132517,"new7v12b. Si vous comparez votre situation à celle de vos parents quand ils avaient votre âge, diriez-vous que votre situation est vraiment plus mauvaise ou vraiment meilleure
que la leur ?La note 0 signifiant que votre situation est vraiment plus mauvaise et la note 10 signifiant que votre situation est vraiment meilleure. Les notes intermédiaires
permettent de nuancer votre jugement. Vraiment plus mauvaiseVraiment meilleure"
